"EmployeeID","TerritoryID"
2,"01581"
2,"01730"
2,"01833"
2,"02116"
2,"02139"
2,"02184"
5,"02903"
9,"03049"
9,"03801"
1,"06897"
5,"07960"
5,"08837"
5,"10019"
5,"10038"
5,"11747"
5,"14450"
8,"19428"
1,"19713"
4,"20852"
4,"27403"
4,"27511"
3,"30346"
3,"31406"
3,"32859"
3,"33607"
2,"40222"
8,"44122"
8,"45839"
9,"48075"
9,"48084"
9,"48304"
8,"53404"
9,"55113"
9,"55439"
7,"60179"
7,"60601"
7,"80202"
7,"80909"
6,"85014"
6,"85251"
7,"90405"
7,"94025"
7,"94105"
7,"95008"
7,"95054"
7,"95060"
6,"98004"
6,"98052"
6,"98104"
